Week,Date,Campaign,AdSet,Ad,Indicator,ActionKey,AmountSpent,Results,CostPerResult,Impressions
,2025-12-03,Visit IG_041125,Distric focus_22-45_U,CRS_V1_021225_DIRTY MILK — THIS IS NOT YOUR MORNING MILK,profile_visit_view,profile_visit_view,169411,99,"1711,22",4823
,2025-12-03,Visit IG_041125,Distric focus_22-45_U,"CRS_V1_021225_WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM",profile_visit_view,profile_visit_view,515,0,,9
,2025-12-03,Visit IG_041125,Distric focus_22-45_U,CRS_V1_021225_NGẬP TRÀN TRONG CƠN MÊ CHOCOLATE VỚI CHOCO LOCO,profile_visit_view,profile_visit_view,1546,1,1546,32
,2025-12-03,Impression FB_041125,Distric focus_22-45_U,NGẬP TRÀN TRONG CƠN MÊ CHOCOLATE VỚI CHOCO LOCO,reach,reach,1417,210,"6747,62",215
,2025-12-04,Mess IG_051125,ITR-2255-HCM-Luxury Brand,CRS_V1_121125_DIRTY MILK — THIS IS NOT YOUR MORNING MILK - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,133094,0,,2034
,2025-12-04,Mess IG_051125,ITR-2255-HCM-Perfume,CRS_V2_151125_NGẬP TRÀN TRONG CƠN MÊ CHOCOLATE VỚI CHOCO LOCO,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,125687,2,"62843,5",1871
,2025-12-04,Mess FB_051125,ITR-2255-HCM-Perfume,DIRTY MILK — THIS IS NOT YOUR MORNING MILK_New,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,96720,2,48360,3120
,2025-12-04,Mess FB_051125,ITR-2255-HCM-Perfume,DIRTY MILK — THIS IS NOT YOUR MORNING MILK_New - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,16465,0,,207
,2025-12-04,Mess FB_051125,ITR-2255-HCM-Perfume,"WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM_New",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,7433,1,7433,55
,2025-12-04,Mess FB_051125,ITR-2255-HCM-Luxury Brand,"VDO_V1_251125_WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,73351,2,"36675,5",564
,2025-12-04,Mess IG_051125,ITR-2255-HCM-Perfume,VDO_V1_281125_MILK & MATCHA – TƯƠI TẮN VÀ TRẺ TRUNG MÀ KHÔNG CẦN CỐ,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,12850,0,,194
,2025-12-04,Mess IG_051125,ITR-2255-HCM-Luxury Brand,VDO_V1_281125_MILK & MATCHA – TƯƠI TẮN VÀ TRẺ TRUNG MÀ KHÔNG CẦN CỐ - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,4354,0,,60
,2025-12-04,Impression FB_041125,Distric focus_22-45_U,DIRTY MILK — THIS IS NOT YOUR MORNING MILK,reach,reach,122232,19592,"6238,87",20132
,2025-12-04,Visit IG_041125,Distric focus_22-45_U,CRS_V1_021225_DIRTY MILK — THIS IS NOT YOUR MORNING MILK,profile_visit_view,profile_visit_view,132161,81,"1631,62",3356
,2025-12-04,Visit IG_041125,Distric focus_22-45_U,"CRS_V1_021225_WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM",profile_visit_view,profile_visit_view,1723,6,"287,17",28
,2025-12-04,Impression FB_041125,Distric focus_22-45_U,NGẬP TRÀN TRONG CƠN MÊ CHOCOLATE VỚI CHOCO LOCO,reach,reach,346,57,"6070,18",58
,2025-12-04,Impression FB_041125,Distric focus_22-45_U,GIÁNG SINH NGỌT NGÀO HƯƠNG GOURMAND CÙNG BORNTOSTANDOUT®,reach,reach,702,116,"6051,72",121
